 ROC-integ, Separation, Significance, Variables
 0.765,0.214,0.521, avg_btag_disc_btags, ptSumOther_ptAsymJJMax
 0.765,0.218,0.533, avg_btag_disc_btags, ptSumOther_mOtherMax
 0.759,0.212,0.521, avg_btag_disc_btags, ptSumOther_dEtaJJMax
 0.761,0.215,0.522, avg_btag_disc_btags, sum_pt
 0.763,0.218,0.515, avg_btag_disc_btags, ptSumOther_ptOtherMax
 0.759,0.210,0.513, avg_btag_disc_btags, ptSumOther_pOtherMin
 0.764,0.220,0.518, avg_btag_disc_btags, ptSumOther_etaOtherMin
 0.762,0.215,0.510, avg_btag_disc_btags, ptSumOther_dPhiJJMax
 0.760,0.210,0.513, avg_btag_disc_btags, ptSumOther_pzJJMax
, avg_btag_disc_btags, ptSumOther_pzOtherMin
 0.755,0.209,0.505, avg_btag_disc_btags, ptSumOther_sumPtJJMax
 0.755,0.209,0.505, avg_btag_disc_btags, ptSumOther_ptSumOtherMin
 0.755,0.209,0.505, avg_btag_disc_btags, ptSumOther_ptLeadOtherMin
 0.759,0.210,0.517, avg_btag_disc_btags, ptSumOther_sumPtJJMin
 0.759,0.210,0.517, avg_btag_disc_btags, ptSumOther_ptSumOtherMax
 0.745,0.197,0.511, avg_btag_disc_btags, dEtaJJ_dEtaJJMin
 0.760,0.220,0.517, avg_btag_disc_btags, ptSumOther_etaJJMax
 0.760,0.211,0.518, avg_btag_disc_btags, ptSumOther_dEtaJJMin
 0.762,0.220,0.511, avg_btag_disc_btags, ptSumOther_ptJJMax
 0.731,0.174,0.507, avg_btag_disc_btags, higgsLike_dijet_mass2
 0.761,0.212,0.521, avg_btag_disc_btags, ptSumOther_etaJJMin
 0.756,0.211,0.513, avg_btag_disc_btags, ptSumOther_dPhiJJMin
 0.754,0.203,0.507, avg_btag_disc_btags, ptSumOther_dRJJMax
 0.752,0.201,0.507, avg_btag_disc_btags, ptSumOther_ptJJMin
 0.761,0.216,0.513, avg_btag_disc_btags, ptSumOther_mJJMin
 0.759,0.214,0.513, avg_btag_disc_btags, ptSumOther_pJJMax
 0.751,0.201,0.511, avg_btag_disc_btags, ptSumOther_pzJJMin
 0.751,0.201,0.511, avg_btag_disc_btags, ptSumOther_pzOtherMax
 0.755,0.203,0.511, avg_btag_disc_btags, ptSumOther_pJJMin
 0.752,0.205,0.495, avg_btag_disc_btags, ptSumOther_mOtherMin
 0.752,0.202,0.504, avg_btag_disc_btags, ptSumOther_etaOtherMax
 0.754,0.203,0.507, avg_btag_disc_btags, mOther_dEtaJJMax
 0.752,0.202,0.507, avg_btag_disc_btags, ptSumOther_ptOtherMin
 0.754,0.202,0.506, avg_btag_disc_btags, ptSumOther_dRJJMin
 0.755,0.206,0.510, avg_btag_disc_btags, ptLeadOther_sumPtJJMax
 0.755,0.206,0.510, avg_btag_disc_btags, ptLeadOther_ptSumOtherMin
 0.755,0.206,0.510, avg_btag_disc_btags, ptLeadOther_ptLeadOtherMin
 0.757,0.206,0.505, avg_btag_disc_btags, sumPtJJ_ptLeadOtherMax
 0.757,0.213,0.504, avg_btag_disc_btags, ptSumOther_mJJMax
 0.748,0.193,0.491, avg_btag_disc_btags, mOther_dRJJMax
 0.758,0.209,0.518, avg_btag_disc_btags, ptSumOther_pOtherMax
 0.736,0.180,0.508, avg_btag_disc_btags, min_dr_jets
 0.736,0.180,0.508, avg_btag_disc_btags, dRJJ_dRJJMin
 0.738,0.187,0.532, avg_btag_disc_btags, numHiggsLike_dijet_15_float
 0.756,0.210,0.511, avg_btag_disc_btags, ptSumOther_ptLeadOtherMax
 0.745,0.194,0.509, avg_btag_disc_btags, ptSumOther_ptAsymJJMin
 0.714,0.161,0.486, avg_btag_disc_btags, higgsLike_dijet_mass
 0.730,0.180,0.523, avg_btag_disc_btags, dRJJ_ptJJMax
 0.687,0.120,0.325, ptSumOther_ptAsymJJMax, ptSumOther_mOtherMax
 0.685,0.117,0.316, ptSumOther_ptAsymJJMax, ptSumOther_dEtaJJMax
 0.684,0.122,0.320, ptSumOther_ptAsymJJMax, sum_pt
 0.680,0.113,0.309, ptSumOther_ptAsymJJMax, ptSumOther_ptOtherMax
 0.680,0.113,0.316, ptSumOther_ptAsymJJMax, ptSumOther_pOtherMin
 0.681,0.110,0.313, ptSumOther_ptAsymJJMax, ptSumOther_etaOtherMin
 0.682,0.117,0.308, ptSumOther_ptAsymJJMax, ptSumOther_dPhiJJMax
 0.676,0.107,0.303, ptSumOther_ptAsymJJMax, ptSumOther_pzJJMax
 0.676,0.107,0.303, ptSumOther_ptAsymJJMax, ptSumOther_pzOtherMin
 0.676,0.113,0.305, ptSumOther_ptAsymJJMax, ptSumOther_sumPtJJMax
 0.676,0.113,0.305, ptSumOther_ptAsymJJMax, ptSumOther_ptSumOtherMin
 0.676,0.113,0.305, ptSumOther_ptAsymJJMax, ptSumOther_ptLeadOtherMin
 0.689,0.120,0.329, ptSumOther_ptAsymJJMax, ptSumOther_sumPtJJMin
 0.689,0.120,0.329, ptSumOther_ptAsymJJMax, ptSumOther_ptSumOtherMax
 0.710,0.146,0.395, ptSumOther_ptAsymJJMax, dEtaJJ_dEtaJJMin
 0.682,0.115,0.321, ptSumOther_ptAsymJJMax, ptSumOther_etaJJMax
 0.686,0.121,0.324, ptSumOther_ptAsymJJMax, ptSumOther_dEtaJJMin
 0.683,0.115,0.313, ptSumOther_ptAsymJJMax, ptSumOther_ptJJMax
 0.713,0.147,0.414, ptSumOther_ptAsymJJMax, higgsLike_dijet_mass2
 0.682,0.113,0.311, ptSumOther_ptAsymJJMax, ptSumOther_etaJJMin
 0.677,0.104,0.304, ptSumOther_ptAsymJJMax, ptSumOther_dPhiJJMin
